signup_id,user_id,signup_date,signup_method,signup_status
SUP00001,USER0001,2025-10-17,email,completed
SUP00002,USER0002,2025-04-18,email,completed
SUP00003,USER0004,2024-08-14,email,completed
SUP00004,USER0006,2024-06-15,google,completed
SUP00005,USER0007,2024-02-27,linkedin,completed
SUP00006,USER0009,2024-01-26,email,completed
SUP00007,USER0010,2025-11-12,google,completed
SUP00008,USER0012,2025-12-18,email,completed
SUP00009,USER0013,2025-10-07,google,completed
SUP00010,USER0015,2024-10-16,email,completed
SUP00011,USER0016,2024-11-13,linkedin,completed
SUP00012,USER0017,2024-12-06,linkedin,completed
SUP00013,USER0018,2025-09-23,google,completed
SUP00014,USER0019,2025-07-20,email,completed
SUP00015,USER0021,2025-03-30,email,completed
SUP00016,USER0022,2024-04-23,email,completed
SUP00017,USER0024,2025-02-01,google,completed
SUP00018,USER0025,2024-09-08,email,completed
SUP00019,USER0027,2025-05-12,linkedin,completed
SUP00020,USER0029,2025-08-15,email,completed
SUP00021,USER0030,2025-04-02,google,completed
SUP00022,USER0031,2024-08-15,google,completed
SUP00023,USER0032,2024-03-25,linkedin,completed
SUP00024,USER0033,2025-07-15,linkedin,completed
SUP00025,USER0034,2024-07-30,google,completed
SUP00026,USER0035,2024-04-26,google,completed
SUP00027,USER0036,2024-09-11,google,completed
SUP00028,USER0037,2024-09-26,google,completed
SUP00029,USER0039,2025-04-05,email,completed
SUP00030,USER0041,2025-04-24,linkedin,completed
SUP00031,USER0042,2024-03-07,google,completed
SUP00032,USER0043,2025-06-01,linkedin,completed
SUP00033,USER0044,2025-08-23,google,completed
SUP00034,USER0045,2025-05-16,google,completed
SUP00035,USER0046,2025-10-28,linkedin,completed
SUP00036,USER0047,2024-10-24,linkedin,completed
SUP00037,USER0049,2024-06-13,google,completed
SUP00038,USER0052,2024-02-24,google,completed
SUP00039,USER0053,2024-08-23,email,completed
SUP00040,USER0054,2025-10-14,linkedin,completed
SUP00041,USER0056,2024-03-29,google,completed
SUP00042,USER0057,2024-11-30,google,completed
SUP00043,USER0058,2024-03-24,email,completed
SUP00044,USER0061,2024-06-24,linkedin,completed
SUP00045,USER0063,2024-05-13,email,completed
SUP00046,USER0064,2025-06-24,email,completed
SUP00047,USER0065,2024-10-05,google,completed
SUP00048,USER0066,2024-03-20,google,completed
SUP00049,USER0067,2025-08-09,email,completed
SUP00050,USER0069,2025-01-05,linkedin,completed
SUP00051,USER0070,2024-09-15,email,completed
SUP00052,USER0072,2025-08-02,linkedin,completed
SUP00053,USER0073,2025-11-20,linkedin,completed
SUP00054,USER0074,2024-08-23,email,completed
SUP00055,USER0075,2025-08-08,linkedin,completed
SUP00056,USER0076,2024-03-13,email,completed
SUP00057,USER0079,2024-10-13,email,completed
SUP00058,USER0080,2025-05-27,google,completed
SUP00059,USER0081,2024-04-06,email,completed
SUP00060,USER0083,2025-06-08,email,completed
SUP00061,USER0085,2025-05-10,google,completed
SUP00062,USER0086,2024-10-27,linkedin,completed
SUP00063,USER0087,2024-05-08,google,completed
SUP00064,USER0088,2024-02-20,linkedin,completed
SUP00065,USER0089,2025-07-19,linkedin,completed
SUP00066,USER0090,2024-03-09,linkedin,completed
SUP00067,USER0091,2025-06-12,linkedin,completed
SUP00068,USER0092,2024-03-27,linkedin,completed
SUP00069,USER0093,2024-04-11,linkedin,completed
SUP00070,USER0094,2024-05-26,email,completed
SUP00071,USER0095,2025-09-17,linkedin,completed
SUP00072,USER0097,2025-11-23,google,completed
SUP00073,USER0101,2025-04-13,linkedin,completed
SUP00074,USER0102,2025-02-23,linkedin,completed
SUP00075,USER0104,2024-11-24,email,completed
SUP00076,USER0106,2024-12-25,google,completed
SUP00077,USER0107,2024-10-03,google,completed
SUP00078,USER0109,2024-09-17,google,completed
SUP00079,USER0110,2025-07-13,email,completed
SUP00080,USER0112,2024-09-21,linkedin,completed
SUP00081,USER0113,2024-07-29,linkedin,completed
SUP00082,USER0114,2025-04-25,email,completed
SUP00083,USER0116,2024-12-29,google,completed
SUP00084,USER0118,2024-09-01,email,completed
SUP00085,USER0119,2025-06-02,google,completed
SUP00086,USER0120,2025-09-17,google,completed
SUP00087,USER0121,2025-07-21,linkedin,completed
SUP00088,USER0122,2024-11-05,google,completed
SUP00089,USER0124,2024-01-24,linkedin,completed
SUP00090,USER0126,2025-08-11,linkedin,completed
SUP00091,USER0127,2025-03-08,email,completed
SUP00092,USER0128,2024-02-15,email,completed
SUP00093,USER0131,2024-12-15,email,completed
SUP00094,USER0132,2024-02-12,email,completed
SUP00095,USER0133,2025-09-06,linkedin,completed
SUP00096,USER0134,2025-03-06,linkedin,completed
SUP00097,USER0135,2024-08-13,email,completed
SUP00098,USER0136,2024-10-19,linkedin,completed
SUP00099,USER0138,2025-12-04,google,completed
SUP00100,USER0140,2024-06-21,google,completed
SUP00101,USER0142,2025-11-10,google,completed
SUP00102,USER0143,2024-06-03,email,completed
SUP00103,USER0144,2024-05-04,email,completed
SUP00104,USER0146,2025-11-20,google,completed
SUP00105,USER0147,2024-02-09,linkedin,completed
SUP00106,USER0148,2024-10-23,google,completed
SUP00107,USER0149,2024-08-02,email,completed
SUP00108,USER0150,2025-08-16,google,completed
SUP00109,USER0151,2025-02-04,google,completed
SUP00110,USER0152,2024-10-21,linkedin,completed
SUP00111,USER0153,2025-04-13,linkedin,completed
SUP00112,USER0155,2024-02-12,google,completed
SUP00113,USER0156,2025-11-29,linkedin,completed
SUP00114,USER0157,2025-09-14,email,completed
SUP00115,USER0158,2024-04-15,google,completed
SUP00116,USER0161,2024-09-30,linkedin,completed
SUP00117,USER0165,2025-06-09,google,completed
SUP00118,USER0166,2024-11-08,linkedin,completed
SUP00119,USER0167,2024-02-20,email,completed
SUP00120,USER0168,2025-11-08,email,completed
SUP00121,USER0169,2024-10-10,email,completed
SUP00122,USER0171,2024-08-21,linkedin,completed
SUP00123,USER0172,2025-03-13,linkedin,completed
SUP00124,USER0173,2024-04-23,google,completed
SUP00125,USER0175,2024-09-07,email,completed
SUP00126,USER0176,2024-12-15,email,completed
SUP00127,USER0179,2024-06-11,google,completed
